timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610629081596,14405,GET LIST,200,,Load Test 1-56,text,true,,939442,125,100,100,http://localhost:9092/list/read,14386,0,1
1610629081698,14491,GET LIST,200,,Load Test 1-55,text,true,,939442,125,100,100,http://localhost:9092/list/read,14471,0,0
1610629081797,14610,GET LIST,200,,Load Test 1-54,text,true,,939498,125,100,100,http://localhost:9092/list/read,14594,0,1
1610629081897,14805,GET LIST,200,,Load Test 1-53,text,true,,939498,125,100,100,http://localhost:9092/list/read,14787,0,1
1610629081998,14989,GET LIST,200,,Load Test 1-52,text,true,,939498,125,100,100,http://localhost:9092/list/read,14971,0,1
1610629082095,14949,GET LIST,200,,Load Test 1-51,text,true,,939554,125,100,100,http://localhost:9092/list/read,14930,0,1
1610629082195,16666,GET LIST,200,,Load Test 1-50,text,true,,939610,125,100,100,http://localhost:9092/list/read,16650,0,1
1610629082297,16893,GET LIST,200,,Load Test 1-49,text,true,,939666,125,100,100,http://localhost:9092/list/read,16875,0,0
1610629082398,17040,GET LIST,200,,Load Test 1-48,text,true,,939666,125,100,100,http://localhost:9092/list/read,16998,0,1
1610629082498,17105,GET LIST,200,,Load Test 1-47,text,true,,939778,125,100,100,http://localhost:9092/list/read,17088,0,0
1610629082598,17073,GET LIST,200,,Load Test 1-46,text,true,,939778,125,100,100,http://localhost:9092/list/read,17055,0,1
1610629082697,17221,GET LIST,200,,Load Test 1-45,text,true,,939778,125,100,100,http://localhost:9092/list/read,17200,0,1
1610629082796,17229,GET LIST,200,,Load Test 1-44,text,true,,939778,125,100,100,http://localhost:9092/list/read,17217,0,1
1610629082897,17496,GET LIST,200,,Load Test 1-43,text,true,,939778,125,100,100,http://localhost:9092/list/read,17474,0,1
1610629082998,17585,GET LIST,200,,Load Test 1-42,text,true,,939778,125,100,100,http://localhost:9092/list/read,17566,0,1
1610629083106,17621,GET LIST,200,,Load Test 1-41,text,true,,939778,125,100,100,http://localhost:9092/list/read,17603,0,0
1610629083198,19295,GET LIST,200,,Load Test 1-40,text,true,,939778,125,100,100,http://localhost:9092/list/read,19277,0,1
1610629083295,19577,GET LIST,200,,Load Test 1-39,text,true,,939778,125,99,99,http://localhost:9092/list/read,19560,0,1
1610629083397,19786,GET LIST,200,,Load Test 1-38,text,true,,939778,125,98,98,http://localhost:9092/list/read,19763,0,0
1610629084440,18972,Create LIST,201,,Load Test 1-89,text,true,,319,251,97,97,http://localhost:9092/list/create,18972,0,0
1610629084445,18968,Create LIST,201,,Load Test 1-90,text,true,,319,251,97,97,http://localhost:9092/list/create,18968,0,0
1610629083497,19919,GET LIST,200,,Load Test 1-37,text,true,,939778,125,95,95,http://localhost:9092/list/read,19900,0,0
1610629083597,19869,GET LIST,200,,Load Test 1-36,text,true,,939778,125,94,94,http://localhost:9092/list/read,19851,0,0
1610629083699,20058,GET LIST,200,,Load Test 1-35,text,true,,939778,125,93,93,http://localhost:9092/list/read,20040,0,1
1610629084704,19070,Create LIST,201,,Load Test 1-88,text,true,,319,251,92,92,http://localhost:9092/list/create,19070,0,0
1610629083797,19977,GET LIST,200,,Load Test 1-34,text,true,,939778,125,92,92,http://localhost:9092/list/read,19959,0,1
1610629083898,20262,GET LIST,200,,Load Test 1-33,text,true,,939778,125,90,90,http://localhost:9092/list/read,20243,0,1
1610629083997,20315,GET LIST,200,,Load Test 1-32,text,true,,939778,125,89,89,http://localhost:9092/list/read,20294,0,0
1610629085026,19377,Create LIST,201,,Load Test 1-87,text,true,,319,251,88,88,http://localhost:9092/list/create,19377,0,0
1610629084105,20301,GET LIST,200,,Load Test 1-31,text,true,,939778,125,87,87,http://localhost:9092/list/read,20283,0,1
1610629084198,21720,GET LIST,200,,Load Test 1-30,text,true,,939778,125,86,86,http://localhost:9092/list/read,21703,0,1
1610629084296,22198,GET LIST,200,,Load Test 1-29,text,true,,939778,125,85,85,http://localhost:9092/list/read,22182,0,1
1610629084396,22417,GET LIST,200,,Load Test 1-28,text,true,,939778,125,84,84,http://localhost:9092/list/read,22400,0,0
